iterations,f=3,f=4,f=5,f=6,f=7,f=8,f=9,f=10
147,3.33,4.42,5.66,6.92,8.87,10.52,12.37,14.42
148,3.33,4.42,5.66,6.98,8.87,10.52,12.37,14.42
149,3.33,4.42,5.66,6.98,8.87,10.52,12.37,14.42
150,3.33,4.42,5.66,6.98,8.94,10.52,12.37,14.42
151,3.33,4.46,5.66,6.98,8.94,10.52,12.37,14.5
152,3.33,4.46,5.66,6.98,8.94,10.52,12.37,14.59
153,3.33,4.46,5.66,7.03,8.94,10.52,12.37,14.59
154,3.33,4.46,5.66,7.03,8.94,10.52,12.37,14.59
155,3.33,4.46,5.66,7.03,8.94,10.52,12.37,14.59
156,3.33,4.46,5.66,7.15,8.94,10.52,12.37,14.59
157,3.33,4.46,5.66,7.15,9.01,10.6,12.37,14.59
158,3.33,4.46,5.66,7.15,9.01,10.6,12.37,14.67
159,3.33,4.46,5.66,7.21,9.08,10.6,12.37,14.67
160,3.33,4.46,5.66,7.21,9.08,10.6,12.37,14.67
161,3.33,4.46,5.71,7.21,9.11,10.76,12.37,14.67
162,3.33,4.46,5.71,7.27,9.11,10.76,12.37,14.67
163,3.33,4.46,5.71,7.27,9.11,10.76,12.37,14.67
164,3.33,4.5,5.71,7.27,9.11,10.76,12.46,14.67
165,3.33,4.5,5.71,7.27,9.11,10.76,12.46,14.67
166,3.33,4.5,5.76,7.27,9.11,10.76,12.55,14.92
167,3.33,4.5,5.76,7.27,9.22,10.76,12.55,15.04
168,3.33,4.5,5.81,7.32,9.29,10.92,12.55,15.13
169,3.33,4.5,5.81,7.32,9.41,10.92,12.63,15.13
170,3.33,4.5,5.81,7.32,9.41,10.92,12.72,15.21
171,3.33,4.5,5.81,7.38,9.41,10.92,12.72,15.31
172,3.33,4.5,5.81,7.38,9.48,10.92,12.72,15.31
173,3.33,4.5,5.86,7.38,9.48,10.92,12.8,15.31
174,3.33,4.54,5.86,7.38,9.48,10.92,12.87,15.31
175,3.33,4.54,5.91,7.38,9.48,10.92,12.96,15.31
