"iterations","avg_extended_size","fit"
71,11.39,13.2999573297074
72,11.39,13.306392269828
73,11.39,13.3128946650167
74,11.39,13.3194652123512
75,11.39,13.3261046159001
76,11.39,13.3328135867881
77,11.48,13.3395928432626
78,11.48,13.3464431107599
79,11.48,13.3533651219726
80,11.48,13.3603596169172
81,11.48,13.3674273430022
82,11.48,13.3745690550968
83,11.56,13.3817855156003
84,11.56,13.3890774945117
85,11.56,13.3964457695
86,11.64,13.4038911259753
87,11.73,13.4114143571596
88,11.73,13.4190162641592
89,11.73,13.4266976560372
90,11.83,13.4344593498858
91,11.83,13.4423021709005
92,11.83,13.4502269524539
93,11.92,13.4582345361702
94,12,13.4663257720005
95,12.1,13.4745015182981
96,12.1,13.4827626418954
97,12.19,13.4911100181798
98,12.19,13.4995445311718
99,12.19,13.5080670736021
100,12.19,13.5166785469907
101,12.29,13.5253798617252
102,12.47,13.5341719371408
103,12.56,13.5430557015997
104,12.56,13.5520320925724
105,12.56,13.5611020567182
106,12.56,13.5702665499672
107,12.72,13.579526537602
108,12.72,13.5888829943413
109,12.72,13.5983369044223
110,12.72,13.6078892616848
111,12.72,13.6175410696559
112,12.82,13.6272933416343
113,12.91,13.6371471007762
114,12.91,13.6471033801809
115,12.91,13.6571632229776
116,12.91,13.6673276824123
117,12.91,13.677597821935
118,12.91,13.6879747152886
119,12.91,13.6984594465967
120,12.91,13.709053110453
121,12.91,13.7197568120112
122,13.01,13.7305716670748
123,13.1,13.741498802188
124,13.1,13.7525393547267
125,13.29,13.7636944729905
126,13.29,13.7749653162946
127,13.37,13.7863530550626
128,13.37,13.7978588709197
129,13.37,13.8094839567867
130,13.37,13.8212295169734
131,13.37,13.8330967672743
132,13.37,13.8450869350627
133,13.37,13.8572012593873
134,13.37,13.8694409910674
135,13.46,13.88180739279
136,13.56,13.8943017392068
137,13.64,13.9069253170312
138,13.64,13.9196794251369
139,13.74,13.9325653746555
140,13.74,13.9455844890759
141,13.74,13.958738104343
142,13.74,13.9720275689577
143,13.83,13.9854542440766
144,13.91,13.9990195036127
145,13.91,14.012724734336
146,13.91,14.026571335975
147,13.91,14.0405607213177
148,13.91,14.0546943163141
149,14.07,14.0689735601785
150,14.15,14.0833999054917
151,14.15,14.0979748183043
152,14.15,14.1126997782399
153,14.15,14.1275762785989
154,14.15,14.1426058264622
155,14.15,14.1577899427956
156,14.24,14.1731301625541
157,14.45,14.188628034787
158,14.45,14.2042851227426
159,14.45,14.2201030039735
160,14.53,14.2360832704423
161,14.53,14.2522275286272
162,14.53,14.2685373996279
163,14.61,14.2850145192717
164,14.61,14.3016605382199
165,14.61,14.3184771220738
166,14.78,14.3354659514818
167,14.86,14.3526287222458
168,14.86,14.369967145428
169,14.95,14.3874829474578
170,14.95,14.4051778702388
171,14.95,14.4230536712557
172,14.95,14.4411121236813
173,14.95,14.4593550164836
174,14.95,14.477784154533
175,14.95,14.4964013587088
176,14.95,14.5152084660068
177,15.1,14.5342073296456
178,15.1,14.5533998191738
179,15.1,14.5727878205762
180,15.2,14.5923732363809
181,15.2,14.6121579857652
182,15.29,14.6321440046619
183,15.29,14.6523332458654
184,15.29,14.6727276791372
185,15.29,14.6933292913115
186,15.34,14.7141400864001
187,15.34,14.7351620856976
188,15.34,14.7563973278855
189,15.44,14.7778478691367
190,15.55,14.7995157832187
191,15.62,14.8214031615972
192,15.62,14.8435121135389
193,15.7,14.8658447662134
194,15.8,14.8884032647953
195,15.8,14.9111897725653
196,15.8,14.9342064710106
197,15.88,14.9574555599249
198,15.88,14.9809392575076
199,15.88,15.0046598004625
200,15.88,15.0286194440954
201,15.96,15.0528204624113
202,16.12,15.0772651482102
203,16.26,15.1019558131827
204,16.26,15.1268947880046
205,16.35,15.1520844224297
206,16.35,15.177527085383
207,16.35,15.2032251650516
208,16.35,15.2291810689754
209,16.45,15.2553972241359
210,16.55,15.2818760770448
211,16.55,15.3086200938306
212,16.63,15.3356317603241
213,16.63,15.3629135821428
214,16.63,15.3904680847736
215,16.71,15.418297813655
216,16.71,15.4464053342561
217,16.71,15.474793232156
218,16.71,15.5034641131204
219,16.71,15.532420603177
220,16.71,15.5616653486892
221,16.71,15.5912010164278
222,16.92,15.6210302936418
223,16.92,15.6511558881258
224,16.92,15.6815805282871
225,16.92,15.7123069632097
226,17,15.7433379627171
227,17.09,15.7746763174321
228,17.09,15.8063248388352
229,17.17,15.8382863593207
230,17.26,15.8705637322499
231,17.26,15.9031598320026
232,17.33,15.9360775540262
233,17.53,15.9693198148815
234,17.63,16.002889552287
235,17.63,16.0367897251597
236,17.63,16.0710233136538
237,17.63,16.1055933191962
238,17.69,16.1405027645194
239,17.69,16.1757546936916
240,17.79,16.2113521721429
241,17.79,16.2472982866899
242,17.79,16.2835961455558
243,17.79,16.320248878388
244,17.79,16.3572596362718
245,17.79,16.3946315917416
246,17.87,16.4323679387876
247,18.05,16.4704718928594
248,18.11,16.5089466908658
249,18.11,16.5477955911713
250,18.19,16.5870218735879
251,18.19,16.6266288393638
252,18.36,16.6666198111674
253,18.36,16.7069981330677
254,18.36,16.7477671705101
255,18.52,16.7889303102881
256,18.6,16.8304909605108
257,18.69,16.8724525505651
258,18.84,16.9148185310745
259,18.84,16.9575923738519
260,18.92,17.0007775718486
261,18.92,17.044377639098
262,18.94,17.0883961106543
263,19.02,17.1328365425259
264,19.23,17.1777025116043
265,19.45,17.2229976155864
266,19.45,17.2687254728928
267,19.45,17.3148897225797
268,19.54,17.361494024245
269,19.6,17.4085420579295
270,19.6,17.4560375240113
271,19.6,17.5039841430949
272,19.76,17.5523856558937
273,19.96,17.6012458231066
274,19.96,17.650568425288
275,19.96,17.700357262712
276,20.15,17.750616155229
277,20.15,17.8013489421164
278,20.15,17.8525594819223
279,20.15,17.9042516523024
280,20.15,17.9564293498492
281,20.32,18.0090964899151
282,20.4,18.0622570064274
283,20.5,18.1159148516962
284,20.5,18.1700739962144
285,20.57,18.2247384284508
286,20.77,18.279912154635
287,20.77,18.3355991985336
288,20.77,18.3918036012202
289,20.89,18.4485294208351
290,20.89,18.5057807323387
291,21.02,18.5635616272548
292,21.02,18.6218762134065
293,21.02,18.680728614643
294,21.02,18.7401229705577
295,21.02,18.800063436197
