b,m,ssr
0.0,930,1273.7129231000001
0.0,940,1273.7129231000001
0.0,950,1273.7129231000001
0.0,960,1273.7129231000001
0.0,970,1273.7129231000001
0.0,980,1273.7129231000001
0.0,990,1273.7129231000001
0.01,0,2437.7112301859925
0.01,10,2380.3914954823
0.01,20,2321.5355683171806
0.01,30,2261.283104392975
0.01,40,2199.780545475973
0.01,50,2137.1788981339696
0.01,60,2073.6315810974033
0.01,70,2009.2924175325923
0.01,80,1944.3138344982003
0.01,90,1878.8453151733654
0.01,100,1813.032131738036
0.01,110,1747.0143695820495
0.01,120,1680.9262380794141
0.01,130,1614.895650380871
0.01,140,1549.0440450449958
0.01,150,1483.486415964744
0.01,160,1418.33151376367
0.01,170,1353.682181222534
0.01,180,1289.6357868137136
0.01,190,1226.2847234826534
0.01,200,1163.7169438579554
0.01,210,1102.0165075967918
0.01,220,1041.2641211739663
0.01,230,981.5376547970853
0.01,240,922.9126250704012
0.01,250,865.4626354173673
0.01,260,809.2597690591274
0.01,270,754.3749315413766
0.01,280,700.8781414519493
0.01,290,648.838769148006
0.01,300,598.3257240995024
0.01,310,549.4075919430073
0.01,320,502.15272261155235
0.01,330,456.6292710380196
0.01,340,412.90519198642573
0.01,350,371.04819059826525
0.01,360,331.12563028796046
0.01,370,293.20439970757724
0.01,380,257.35074064041714
0.01,390,223.63003888114093
0.01,400,192.10658041524744
0.01,410,162.8432755171945
0.01,420,135.90135373611383
0.01,430,111.34003312196103
0.01,440,89.21616745402862
0.01,450,69.58387565917053
0.01,460,52.49415803951713
0.01,470,37.994504358209035
0.01,480,26.128499243556895
0.01,490,16.935430750341816
0.01,500,10.449908241086199
0.01,510,6.701495995616232
0.01,520,5.714369097001049
0.01,530,7.506998147904643
0.01,540,12.091869216877205
0.01,550,19.47524507645876
0.01,560,29.65697325798318
0.01,570,42.63034570400658
0.01,580,58.38201385067067
0.01,590,76.89196183200364
0.01,600,98.13353918967601
0.01,610,122.07355302831225
0.01,620,148.67241801983602
0.01,630,177.8843610788872
0.01,640,209.65767595802168
0.01,650,243.93502150141052
0.01,660,280.65375590385116
0.01,670,319.74629810002875
0.01,680,361.1405064034366
0.01,690,404.76006376392263
0.01,700,450.5248585469643
0.01,710,498.3513495759528
0.01,720,548.1529043310022
0.01,730,599.8400996660315
0.01,740,653.320975186757
